ID	Group
QC_POS7	QC
QC_POS6	QC
QC_POS5	QC
QC_POS4	QC
QC_POS3	QC
QC_POS2	QC
QC_POS1	QC
ZJXJ013_5_POS5	ZJXJ
ZJXJ013_5_POS4	ZJXJ
ZJXJ013_5_POS3	ZJXJ
ZJXJ013_5_POS2	ZJXJ
ZJXJ013_5_POS1	ZJXJ
ZJXJ013_4_POS5	ZJXJ
ZJXJ013_4_POS4	ZJXJ
ZJXJ013_4_POS3	ZJXJ
ZJXJ013_4_POS2	ZJXJ
ZJXJ013_4_POS1	ZJXJ
ZJXJ013_3_POS5	ZJXJ
ZJXJ013_3_POS4	ZJXJ
ZJXJ013_3_POS3	ZJXJ
ZJXJ013_3_POS2	ZJXJ
ZJXJ013_3_POS1	ZJXJ
ZJXJ013_2_POS5	ZJXJ
ZJXJ013_2_POS4	ZJXJ
ZJXJ013_2_POS3	ZJXJ
ZJXJ013_2_POS2	ZJXJ
ZJXJ013_2_POS1	ZJXJ
ZJXJ013_1_POS5	ZJXJ
ZJXJ013_1_POS4	ZJXJ
ZJXJ013_1_POS3	ZJXJ
ZJXJ013_1_POS2	ZJXJ
ZJXJ013_1_POS1	ZJXJ
ZJSX016_POS5	ZJSX
ZJSX016_POS4	ZJSX
ZJSX016_POS3	ZJSX
ZJSX016_POS2	ZJSX
ZJSX016_POS1	ZJSX
ZJSX015_POS5	ZJSX
ZJSX015_POS4	ZJSX
ZJSX015_POS3	ZJSX
ZJSX015_POS2	ZJSX
ZJSX015_POS1	ZJSX
ZJSX007_POS5	ZJSX
ZJSX007_POS4	ZJSX
ZJSX007_POS3	ZJSX
ZJSX007_POS2	ZJSX
ZJSX007_POS1	ZJSX
ZJHB014_3_POS5	ZJHB
ZJHB014_3_POS4	ZJHB
ZJHB014_3_POS3	ZJHB
ZJHB014_3_POS2	ZJHB
ZJHB014_3_POS1	ZJHB
ZJHB014_2_POS5	ZJHB
ZJHB014_2_POS4	ZJHB
ZJHB014_2_POS3	ZJHB
ZJHB014_2_POS2	ZJHB
ZJHB014_2_POS1	ZJHB
ZJHB014_1_POS5	ZJHB
ZJHB014_1_POS4	ZJHB
ZJHB014_1_POS3	ZJHB
ZJHB014_1_POS2	ZJHB
ZJHB014_1_POS1	ZJHB
ZJHB005_POS5	ZJHB
ZJHB005_POS4	ZJHB
ZJHB005_POS3	ZJHB
ZJHB005_POS2	ZJHB
ZJHB005_POS1	ZJHB
